MW;1-2;2-2;3-2;4-2;5-2;6-2;7-2;8-2;9-2;10-2;11-2;12-2;13-2;14-2;15-2;16-2;17-2;18-2;19-2;20-2;21-2;22-2;23-2
9,059;1006,0476;1218,454;1101,3746;914,1472;319,9513;771,187;1380,0429;897,1137;652,051;1280,8793;809,0313;578,8581;540,4092;875,6227;989,3689;907,2208;1213,6307;575,7878;931,0897;988,6021;730,2306;1173,5586;509,4755
9,2305;1048,8409;1241,8265;1153,7935;963,761;354,6039;914,282;1450,6004;917,1415;702,2956;1248,2602;857,814;601,4515;509,382;858,3791;982,0377;930,366;1399,7586;633,588;1072,647;1047,3963;790,6984;1248,2458;530,7436
9,4021;1083,6379;1263,6287;1222,8061;1034,9917;378,6514;1078,5014;1505,6661;929,7177;728,4344;1238,2997;889,4083;616,0997;487,9511;845,9923;956,6792;991,6995;1605,5164;687,0286;1229,2534;1069,2026;842,7882;1330,3161;548,6094
9,5736;1094,5587;1294,3243;1253,1364;1100,6629;415,685;1247,6383;1527,4646;930,0762;751,431;1246,1911;888,1855;646,388;459,134;816,42;895,5609;1073,46;1785,8328;733,587;1398,8474;1072,4673;896,5844;1365,028;560,0732
9,7451;1095,9737;1317,3137;1261,282;1142,7188;453,9319;1418,0733;1481,7302;926,5371;783,472;1260,9993;910,3055;669,2491;427,6979;791,3002;864,3125;1081,2031;1983,7455;776,3611;1558,6179;1094,4051;949,0085;1413,2297;569,8207
9,9167;1116,2881;1323,2073;1275,5325;1203,5701;493,576;1616,1673;1481,9547;887,8349;780,9999;1230,7119;941,5079;657,1042;389,4849;735,243;804,0352;1093,5661;2145,8123;803,945;1695,5342;1115,7242;966,8206;1485,766;571,9524
10,0882;1128,1301;1297,6216;1281,4735;1274,6543;539,8549;1836,7581;1412,3314;840,2684;760,5592;1180,1924;950,1116;643,524;356,8812;696,3007;746,1799;1107,975;2279,3037;829,2529;1836,5007;1085,5038;970,7052;1504,1054;557,8261
10,2597;1117,1324;1313,6032;1280,4292;1331,5673;584,1466;2038,5552;1362,99;757,3862;756,3602;1143,3403;967,0545;671,8234;316,1186;666,5977;720,2133;1100,7093;2383,2839;825,5913;1979,8784;1059,4619;958,1847;1509,3021;552,1112
10,4313;1093,5604;1275,3531;1282,2544;1383,3393;605,1741;2221,5758;1332,3481;665,1695;734,5756;1085,3262;979,234;662,8491;269,123;620,4758;677,66;1064,6939;2454,2625;798,0577;2090,8977;1051,6813;927,8957;1502,0397;541,9157
10,6028;1042,5559;1216,4487;1259,3037;1440,8674;636,8157;2417,7089;1321,7821;582,7441;714,0269;997,3004;965,9562;628,9562;250,1165;592,1441;629,9356;1013,6636;2361,8774;754,4435;2175,3317;1019,6426;892,4779;1452,0707;534,384
10,7743;980,065;1151,3306;1151,7614;1428,4077;657,1045;2624,9972;1333,6455;497,5635;698,7161;866,835;917,2244;572,7446;206,7475;537,0445;588,6371;953,3342;2255,6526;689,6954;2234,3083;948,1747;846,3423;1395,9939;523,0573
10,9459;903,7243;1083,9099;1050,508;1391,3063;663,381;2778,5793;1284,9117;423,0364;668,5345;740,4815;871,3472;519,6246;178,4612;487,4006;540,0001;889,9838;2094,7542;617,9795;2252,9394;890,8826;793,7773;1329,8441;485,6641
11,1174;821,1478;987,4919;949,7959;1340,9764;679,9326;2855,3341;1172,8685;357,8155;628,3079;614,8267;806,9846;458,4926;168,3969;439,2874;487,9797;819,5306;1907,9983;554,9243;2233,1657;833,4421;739,8959;1243,5353;446,3569
11,2889;738,503;886,4453;844,0768;1272,9427;695,8323;2851,7018;1100,7945;296,9338;594,4463;507,9165;731,6963;402,1244;152,3164;381,8287;439,7771;745,9792;1679,6455;491,7233;2163,9417;769,5934;691,6197;1138,6169;434,8339
11,4605;654,474;806,2136;751,2529;1193,7976;707,4142;2747,8455;1019,8412;246,2398;556,971;405,1565;660,3998;350,5749;140,0772;328,3954;389,6961;686,2761;1432,3353;417,9096;2070,9978;710,3409;646,0713;1029,6335;411,944
11,632;580,5587;718,4168;674,7643;1082,3025;724,473;2651,9636;935,5053;214,4616;512,6443;308,9705;588,8703;306,6742;133,674;288,0065;338,9724;636,8934;1204,6592;360,3551;1965,0251;654,5064;608,6889;910,0661;376,0004
11,8035;512,1156;624,6246;606,8536;994,4378;766,053;2457,7353;825,7799;197,6313;468,0382;232,9271;515,3679;279,0596;133,4223;251,9842;309,615;587,4528;986,8958;319,5669;1872,355;588,2423;580,4036;820,9251;357,0763
11,9791;455,5579;548,5214;547,1653;884,2761;828,942;2233,9766;726,0859;169,2045;417,8293;182,663;458,1228;245,841;135,7486;228,8787;304,3664;552,0116;791,7811;276,4273;1770,0653;522,0494;548,9639;716,2102;333,9159
12,1695;405,2927;505,3509;498,0656;786,9882;901,784;1993,7375;653,4266;143,8278;373,3914;147,4351;394,1062;224,6721;129,4027;216,4108;295,0165;524,7983;634,2139;239,6446;1614,7947;466,8113;525,6587;636,0352;303,186
12,3667;366,4329;471,2185;457,3771;694,6327;1000,4611;1733,0702;575,6389;139,6239;332,1211;122,7559;347,7121;197,8201;125,2755;218,0027;272,314;486,9988;515,4752;216,4911;1466,2987;418,6026;501,7058;561,7214;293,9864
12,5644;340,0835;430,438;434,37;608,8446;1119,129;1499,8732;490,3449;133,987;289,796;107,9671;315,7554;184,4498;131,9485;209,7411;256,5033;451,7705;419,8901;194,3044;1328,1625;373,5314;480,6052;510,1541;285,4554
12,7621;323,5575;401,2555;426,8875;549,1325;1264,0738;1255,0618;435,3694;130,0711;255,8227;97,6427;288,2059;179,9832;136,0025;205,2111;258,1108;431,1461;342,7612;183,1593;1177,0927;334,3156;461,2649;460,4388;276,1788
12,9598;306,9951;391,553;418,1781;492,7131;1430,0217;1045,5344;394,5399;128,2685;223,3855;93,3527;262,7418;180,8689;143,2577;211,8027;275,4319;416,4287;279,7296;179,7804;1050,8296;310,537;448,2157;422,1356;271,0707
13,1575;303,9026;396,5051;413,0559;450,9186;1603,7329;871,635;356,8283;130,9332;193,45;88,7911;244,0674;181,6087;157,9559;220,0091;286,285;406,5612;236,8395;172,1052;941,6603;296,116;433,5681;384,3737;262,8378
13,3552;307,3518;394,5744;422,2118;420,551;1773,6958;723,8477;332,5912;137,5514;176,7569;85,4039;236,0684;182,5626;165,067;243,1455;281,6966;402,3756;211,3098;171,6664;850,8394;281,661;418,182;371,3929;267,8953
13,5529;310,207;396,6661;437,1544;394,1688;1944,3939;611,7358;317,6137;151,7283;170,0137;80,5194;232,0344;184,6875;171,1097;254,1165;294,8744;402,0176;192,4174;172,3343;774,7166;271,6452;417,2651;366,1176;285,9388
13,7506;317,2846;408,6078;449,5366;379,1655;2100,8386;513,4795;303,0594;163,644;164,9305;84,5774;228,4007;191,1773;170,142;263,6808;312,8315;404,9373;178,0709;172,8539;712,1381;265,4654;419,1587;368,3121;289,1088
13,9484;316,8352;413,6859;459,4937;376,4015;2223,0486;439,2968;295,5203;168,118;160,3621;86,1516;237,4036;202,5575;178,5511;272,9737;322,4484;405,07;169,9789;171,5254;651,5844;263,2479;423,189;373,8346;287,5286
14,1461;320,9439;428,329;474,7011;377,6974;2303,3504;388,3491;290,609;179,6215;160,1137;81,9872;241,5734;204,84;180,407;283,0032;347,2852;406,3842;163,8459;172,3128;611,3377;262,8758;431,6571;372,6427;297,9254
14,3438;323,2299;438,3996;486,3394;377,952;2369,128;354,1518;288,2342;189,3408;165,0797;78,2667;241,5141;200,6114;170,1853;284,4639;356,4328;412,3806;159,0738;170,9523;587,87;271,9336;438,8449;381,8496;313,3637
14,5415;330,0262;448,9425;503,2403;373,5668;2379,5084;321,6734;288,4485;197,0414;170,6288;72,5696;246,0534;202,8127;171,0875;281,9458;345,4191;423,1288;156,0023;167,7747;568,8602;275,0097;454,1707;396,5822;336,7482
