MW;24-2;25-2;26-2;27-2;28-2;29-2;30-2;31-2;32-2;33-2;34-2;35-2;36-2;37-2
19,5498;249,253;7,7129;376,3552;238,6758;281,6709;118,7611;363,283;234,8147;614,0611;93,51;78,5732;2,4716;137,2495;99,0047
19,739;261,1714;8,9201;382,4628;247,5341;272,4148;120,414;375,0258;239,1714;620,6141;88,9022;81,8068;3,8371;129,6883;91,9549
19,9281;278,3699;8,7744;391,3432;250,4455;284,8925;119,541;383,9811;226,9546;614,5597;86,2551;85,1191;7,1196;124,1812;90,8323
20,1172;299,8673;8,6474;398,5385;258,6932;299,9362;123,122;395,8573;226,2074;592,8191;88,3642;85,0542;7,2989;119,4186;93,7188
20,3064;301,7871;11,4096;412,3291;273,8366;307,8764;126,6722;403,6189;226,4656;568,1838;93,0619;85,4862;3,6767;112,5273;96,1794
20,4955;301,415;10,6535;403,5521;284,978;305,9404;129,1124;405,0848;225,185;537,1024;104,0463;82,3421;3,1718;113,1283;98,7486
20,6846;302,5577;9,6451;385,0888;288,0567;305,8945;123,1349;404,0557;225,6478;493,8239;107,867;93,7722;2,7839;121,5622;96,3049
20,8738;299,8783;12,5861;369,518;276,7166;315,1904;120,7839;401,817;215,159;440,7992;101,5351;97,0451;-1,1603;124,5681;92,5914
21,0629;299,2363;15,3571;359,2921;260,7834;320,7678;117,133;396,6061;209,5556;383,1112;101,3092;97,4996;-1,5524;122,7605;97,463
21,252;294,0142;15,0595;346,2538;252,729;323,9798;108,9343;380,61;213,2856;333,7991;104,2156;97,5298;0,2088;118,4217;103,1744
21,4411;278,4008;11,8976;320,3618;238,9701;330,1691;107,6755;353,5412;210,122;296,9686;106,7285;105,0742;7,0466;117,4819;92,0494
21,6303;268,3004;11,8226;299,9183;222,9696;328,1451;105,612;323,7897;205,1363;264,5341;112,2034;112,3889;3,6794;110,4698;82,2501
21,8194;258,4099;15,3377;286,4682;223,8514;297,752;97,0929;298,7987;199,0949;223,4234;108,5841;110,6584;6,2623;100,2859;78,7493
22,0085;237,0512;17,6094;263,3093;206,9464;280,3947;90,4045;271,8736;193,4855;194,8121;108,774;114,0141;4,8909;101,3946;77,6401
22,1977;230,1742;19,2353;241,2045;186,7585;268,403;89,5214;244,8044;198,5228;185,6476;110,169;104,5467;4,0491;100,6642;82,8772
22,3868;229,6058;16,4729;236,1832;177,8895;256,1516;89,2177;224,1616;205,6639;175,2118;107,2736;116,7826;2,9961;96,0811;75,6105
22,5759;222,472;20,7361;239,3304;177,0193;232,184;94,4872;213,6458;205,3593;173,4929;106,8493;128,4831;1,6447;97,7659;79,154
22,7651;226,5405;26,3666;230,448;181,3715;210,9901;97,7158;204,1908;211,9278;182,2334;108,2056;126,2742;1,8176;101,3149;81,3036
22,9542;229,4118;25,0991;231,8243;180,44;196,4743;97,0971;195,5257;217,886;206,532;125,0679;132,5632;2,6448;101,6667;84,8539
23,1433;246,3889;27,7162;232,8651;179,1986;189,1497;96,0647;195,3585;228,5376;220,0468;118,4646;138,5661;6,9722;101,9204;90,0521
23,3324;271,247;36,009;238,7731;192,2445;189,2072;103,9205;208,434;242,581;233,9167;121,2926;150,5009;7,1226;105,6555;97,6857
23,5216;291,7644;41,2019;251,2365;207,0898;199,9418;116,2779;223,3614;253,5806;252,377;134,5473;160,3197;10,3772;109,7775;94,895
23,7107;323,7659;43,3553;257,3714;204,857;205,0715;122,3313;235,7512;270,3924;279,3736;141,9559;164,0299;10,0448;117,1758;107,9562
23,8998;361,3146;49,0365;262,0557;229,6611;215,8866;123,6875;252,4392;281,9607;304,326;154,0257;169,0174;11,6645;126,0059;112,2202
24,089;408,7595;55,3399;271,7034;244,3578;214,0384;135,0916;274,7604;314,2651;327,4829;172,7448;184,3388;9,3807;133,0809;114,2552
24,2781;445,9313;59,499;293,8914;264,9636;228,4783;147,9309;295,2643;333,9541;357,9733;190,2041;197,8108;8,0501;142,7218;136,9289
24,4672;483,6286;69,2054;300,4314;286,6697;248,0586;168,6288;317,5483;361,095;381,7968;212,8722;214,9937;11,5466;146,6213;152,6275
24,6564;537,7787;83,6173;316,832;310,3124;269,1218;196,6458;355,3073;388,3788;401,4361;240,5688;237,7327;8,8438;155,7619;155,3484
24,8455;572,8247;97,7433;345,163;330,4679;293,662;215,1004;397,7807;415,2374;427,8752;272,6758;266,4614;7,417;159,2934;167,4152
25,0346;605,5669;110,2189;363,8475;350,794;319,3828;235,1837;429,2889;446,04;431,1668;304,0562;300,3208;10,5285;189,0642;188,7832
25,2238;638,4775;125,0923;375,9179;376,9373;341,2525;266,7099;461,8065;472,1282;429,7047;348,488;334,7079;12,4208;203,978;211,3347
25,4129;670,5565;143,7454;406,2729;405,8163;370,1752;297,4249;503,8125;502,3175;432,3541;400,6703;369,5735;14,0234;207,1876;234,8399
25,602;694,0448;166,3609;430,6639;416,8103;402,5675;329,8853;550,2905;546,7797;435,0678;453,7648;398,8935;14,7239;235,2587;269,244
25,7911;699,5711;189,6868;454,0203;409,0119;432,5219;364,2935;597,892;596,4233;437,839;505,1623;442,5391;13,9667;269,2186;301,034
25,9878;697,9339;208,3771;488,344;409,2967;453,9152;398,1718;648,404;644,5882;440,5275;559,3068;509,6362;13,1288;291,685;319,5078
26,1998;696,1027;224,4818;523,0666;416,1903;454,9825;440,8608;710,5423;695,2864;468,188;629,8633;572,6459;12,3866;312,8907;354,6367
